violation_id,violation_type,fine_amount,severity,accident_involved,average_speed,vehicle_type,city,timestamp
SIM-20260528182345-000,No Helmet,548.958215669282,High,False,23.501858221485072,Auto,Hyderabad,2026-05-28T17:33:45.414264
SIM-20260528182345-001,Signal Jumping,733.8756136477706,Medium,False,92.95244808925824,Car,Mumbai,2026-05-28T17:47:45.414264
SIM-20260528182345-002,Drunk Driving,2362.2941426899047,Medium,False,45.58953670059153,Bike,Delhi,2026-05-28T18:16:45.414264
SIM-20260528182345-003,Overspeeding,1723.9603088184128,Critical,True,52.5745516372481,Bike,Kolkata,2026-05-28T17:35:45.414264
SIM-20260528182345-004,No Seatbelt,573.126199399942,Low,True,76.599521801849,Car,Jaipur,2026-05-28T18:12:45.414264
SIM-20260528182422-000,Document Expired,337.5359998599454,High,False,63.84028463560051,Bike,Bengaluru,2026-05-28T17:27:22.093653
SIM-20260528182422-001,Drunk Driving,2024.59896955606,Critical,False,38.263373235665135,Bike,Lucknow,2026-05-28T18:05:22.093653
SIM-20260528182422-002,Document Expired,275.24345445351867,Medium,False,72.38384195090403,SUV,Jaipur,2026-05-28T18:19:22.093653
SIM-20260528182422-003,No Seatbelt,400.5677799009106,Critical,False,73.95707141474016,Auto,Jaipur,2026-05-28T17:25:22.093653
SIM-20260528182422-004,Drunk Driving,2960.19956652946,Medium,False,40.25140713312804,SUV,Jaipur,2026-05-28T17:25:22.093653
SIM-20260528182422-005,Triple Riding,515.3106648303857,Medium,False,69.60027756869982,Bus,Nagpur,2026-05-28T17:28:22.093653
SIM-20260528182422-006,Drunk Driving,2396.4296740726018,High,False,45.89395107032149,Truck,Jaipur,2026-05-28T17:50:22.093653
SIM-20260528182422-007,No Helmet,512.5696406044558,High,False,28.829496812145656,Bus,Mumbai,2026-05-28T18:10:22.093653
SIM-20260528182509-000,Document Expired,343.01016107554244,Medium,False,90.60626208420749,SUV,Kolkata,2026-05-28T18:07:09.894071
SIM-20260528182509-001,No Helmet,576.7701576015086,Critical,False,72.80406659926942,Truck,Delhi,2026-05-28T18:21:09.894071
SIM-20260528182509-002,No Seatbelt,480.2716936441241,Low,False,55.14767489947501,Auto,Pune,2026-05-28T17:54:09.894071
SIM-20260528182509-003,Using Mobile,836.7623947306209,High,False,75.96869416335306,Car,Bengaluru,2026-05-28T18:18:09.894071
SIM-20260528182509-004,Using Mobile,938.9067298104603,Medium,False,49.50264245150767,Truck,Kolkata,2026-05-28T17:44:09.894071
SIM-20260528182509-005,Signal Jumping,836.960606332159,Critical,False,56.941149314511186,Bike,Mumbai,2026-05-28T17:48:09.894071
SIM-20260528182509-006,Document Expired,325.3587397723879,High,True,91.83911161885915,Car,Bengaluru,2026-05-28T18:05:09.894071
SIM-20260528182509-007,Drunk Driving,2255.593353111131,High,False,29.091566361005874,Bike,Kolkata,2026-05-28T17:38:09.894071
SIM-20260528182509-008,No Seatbelt,487.66055739428873,Critical,False,89.55784244698377,Car,Kolkata,2026-05-28T17:48:09.894071
SIM-20260528182509-009,Signal Jumping,926.1224613756806,Medium,False,30.337564888448316,Truck,Bengaluru,2026-05-28T18:25:09.894071
SIM-20260528182509-010,Signal Jumping,731.960413183231,Medium,False,62.76024334846873,SUV,Lucknow,2026-05-28T17:31:09.894071
SIM-20260528182509-011,Using Mobile,1050.174750947261,Low,False,58.6092148600898,Car,Nagpur,2026-05-28T17:30:09.894071
SIM-20260528182509-012,Wrong Side Driving,701.2600918665196,High,False,21.433609360141723,Auto,Nagpur,2026-05-28T17:53:09.894071
SIM-20260528182509-013,Document Expired,254.27335760299852,Critical,False,57.50206946439886,SUV,Pune,2026-05-28T18:05:09.894071
SIM-20260528182509-014,No Helmet,439.9996777039922,Critical,False,45.8782438028425,Car,Delhi,2026-05-28T18:00:09.894071
SIM-20260528182509-015,No Helmet,591.775479071224,Low,False,35.43070422005823,Bike,Chennai,2026-05-28T18:21:09.894071
SIM-20260528182509-016,No Helmet,481.35256065130216,Critical,False,43.98826171954933,Truck,Hyderabad,2026-05-28T18:16:09.894071
SIM-20260528182509-017,Wrong Side Driving,601.9212394500745,Low,False,36.565084903478066,SUV,Kolkata,2026-05-28T18:18:09.894071
